Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159599,1.434875,4.328912,4.607465,5.235561,6.342958,6.142361,7.714014,8.679887,8.328124,8.866296,9.597997,9.640258,10.474807,10.618805,8.999388,8.049823,7.628534,9.000979,9.632663,12.191815,11.205338
Slovak Republic,2.660066,2.888634,3.172488,3.867887,4.428125,4.888795,5.556121,6.225619,7.425868,4.93772,5.133167,5.353455,5.503763,6.243442,6.41223,6.87068,7.254403,7.1459,8.073401,11.730998,10.038472,11.121381,10.903113,10.694893,11.795675,12.482239,12.773162,12.93781,13.327694,13.186474,13.344052,12.517733,12.066808,11.486576,12.616391,11.523232,10.797539,10.794964,9.38907,10.881807,9.568915,9.150857,9.363269,7.592131,7.604753,7.769856,8.207756,7.962324
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.561113,1.631217,1.775988,1.693155,1.801837,1.707369,1.428413,1.421496,1.451032,1.534896,1.608965,1.625626,1.674097,1.716509,1.647236,1.712217,1.696817,1.84142,1.868938,1.885347,1.84657,1.840259,1.838038,1.740693,1.841168,1.72075,1.657688,1.614923,1.459868,1.548528,1.643197,1.722191,1.688829
Spain,0.688179,1.340308,1.933312,1.91352,1.82072,2.419128,2.330619,2.446695,2.968661,3.144921,3.740148,4.027839,4.306242,4.01446,4.547987,4.935145,5.590858,6.957623,8.662115,10.003836,10.862217,11.897868,12.27725,13.043031,16.903345,18.585571,24.798618,25.476143,29.627886,34.108772,37.155238,42.743067,48.499734,56.542337,66.825989,72.052461,73.40948,80.755272,72.095327,71.619509,66.514617,65.000775,59.075572,54.157392,56.364107,57.494679,62.310567,61.849038
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195144,0.477736,0.643848,0.821018,1.089927,1.255939,1.31269,1.494302,1.655365,1.661525,1.626889,1.666069,1.749328,1.819155,1.792092,1.648751,1.855911,1.870149,1.953105,1.875501,1.730242,1.752608,1.944218,1.657587,2.3493,3.02011,2.49673,2.216208,1.983197,1.694495,1.773209,1.690002,1.454959,1.527124
Switzerland,0.029537,0.144402,0.255783,0.527469,0.961077,1.072458,1.336117,1.451588,1.657082,1.907512,2.074129,2.211462,2.439677,2.740597,2.875406,2.950131,3.186929,3.224796,3.508045,3.797306,4.264913,4.483313,4.703948,4.638914,5.117485,5.543945,5.352263,5.513361,5.715666,5.686233,5.922077,5.813434,6.148044,6.345072,6.516503,6.336978,6.17091,6.580674,6.317295,7.060874,6.267485,6.873846,7.248378,6.29335,6.730776,7.077698,7.11415,6.755439
Turkey,0,0,0,0,0,0,0,0,0,0,0,0.077351,0.137282,0.077351,0.129608,0.884434,1.407005,2.367173,6.213602,6.292468,7.268338,7.738956,8.415017,9.402298,12.164203,14.927469,18.080873,19.613043,24.265797,28.903404,31.186512,33.622957,40.682621,42.891406,52.346719,60.647376,70.934259,70.16777,67.498163,73.272552,85.807957,86.891825,87.841695,93.260029,91.460515,87.413034,102.484843,93.034865
United Kingdom,21.675862,35.590047,46.167046,60.509336,67.562336,74.775286,79.022808,85.045507,91.779056,92.829198,93.825668,95.135682,97.475943,98.881131,105.763625,106.887128,111.527614,107.880721,102.320661,104.148955,114.389841,115.240194,127.999723,136.290484,144.548225,168.189057,172.552856,180.551483,192.673425,198.340877,200.003462,197.302499,198.622914,202.662215,197.289978,186.746303,188.414391,194.811776,181.082385,195.240185,162.677163,152.821365,151.771627,139.250915,142.999242,161.016902,156.840812,157.996544
OECD Europe,187.456092,241.232083,284.574363,331.710158,351.278975,387.460311,405.593492,420.073822,449.652731,443.14462,436.995747,428.248962,443.838655,462.919636,481.41084,493.028944,522.460116,518.399663,538.639739,575.291092,617.55752,612.57008,641.137579,654.504465,702.605432,779.80224,784.809058,813.720416,857.840468,878.014839,909.679647,917.142079,962.695988,990.3528,1020.365871,1018.739781,1018.032352,1047.255233,989.57914,1070.450454,978.623751,956.891506,941.029224,854.997145,888.253068,943.749171,981.410278,962.373216
Albania,0.248108,0.285521,0.374282,0.39983,0.59043,0.689744,0.689744,0.696964,0.724835,0.757199,0.757199,0.757199,0.757199,0.757199,0.757199,0.757199,0.757199,0.807689,0.656219,0.477282,0.277695,0.201152,0.16076,0.102343,0.054377,0.045138,0.035797,0.032415,0.031758,0.021155,0.01651,0.027467,0.025346,0.019439,0.021105,0.021105,0.033829,0.016914,0.017217,0.027012,0.028173,0.031052,0.034232,0.058316,0.064274,0.082126,0.087915,0.07589
