Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Kingdom,352.949734,300.0644,318.954642,281.091941,280.062885,282.749465,284.068135,270.510148,294.857176,271.910327,272.614173,254.428626,254.60426,183.950902,242.39095,259.072724,265.668056,257.653016,246.613128,247.096006,246.607905,233.80116,205.035946,192.129256,179.547499,170.657418,151.267125,150.608566,134.689624,142.63529,152.227111,143.016331,153.672758,148.362599,150.055833,163.784648,152.636645,137.541137,112.421889,115.695156,116.607838,147.850174,140.009259,113.036189,89.646395,45.3896,36.492039,31.263082
OECD Europe,1717.13362,1642.522921,1678.790563,1656.040115,1576.565619,1663.433841,1663.051914,1686.820842,1780.118086,1796.021392,1771.358879,1780.361278,1785.230096,1786.446439,1872.460437,1857.181892,1877.49776,1842.59169,1825.617339,1744.752687,1684.178765,1573.615922,1483.471497,1457.629272,1437.94001,1447.180603,1385.690304,1341.046123,1269.341179,1313.57592,1299.468018,1295.887473,1345.176183,1330.378791,1297.002503,1336.629524,1358.24383,1253.363089,1127.689034,1184.17825,1196.337564,1247.123658,1205.87974,1141.517662,1117.88361,1048.624808,1029.702503,997.919331
Albania,1.220198,1.328573,1.43266,1.489551,1.591169,1.623387,1.728855,2.213117,2.7855,2.520993,2.670567,3.010639,3.25626,3.516263,3.749502,3.698954,3.852837,3.876293,3.742408,2.438743,1.433238,0.376836,0.188426,0.166939,0.077313,0.112338,0.038771,0.048713,0.113332,0.068596,0.080526,0.061637,0.063625,0.063625,0.053684,0.053684,0.053684,0.06959,0.413887,0.456689,0.5721,0.317962,0.275846,0.350443,0.386084,0.208463,0.466833,0.897204
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.970285,0.520298,0.247844,0.005273,0.06328,0.005273,0.008789,0.008789,0.008789,0.005273,0,0,0.03164,0.04746,0,0,0.001827,0.005273,0.003653,0,0.002437,0,0.004874,0.002437,0,0.002625,0.002373,0.001425,0.004381
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.351552,0.263664,0.04746,0.012304,0.014062,0.010547,0.010547,0.010547,0.001758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.590842,9.431661,8.319098,7.368018,5.977634,5.549918,5.546298,4.674041,4.487411,3.722154,3.827315,3.24473,2.893426,2.723019,2.483565,2.434834,2.37493,2.183145,2.007597,1.943984,2.135666,2.257803,2.926376,3.157266,3.311095,2.927628,3.167503,3.254378,3.270241
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.667456,15.718378,13.472895,11.676509,1.25747,1.473037,2.080047,6.513472,8.307762,8.090662,10.053301,9.845572,10.809707,11.156873,11.278713,11.956028,13.36617,14.044987,15.297848,15.27321,15.551748,18.351299,17.064094,17.01089,14.624758,14.510311,16.662757,16.899213,16.981691
Bulgaria,34.037903,34.982181,35.385755,34.634407,35.935513,33.149224,33.533824,35.18004,36.763892,38.803565,39.05413,41.095422,40.703471,40.864188,43.328006,42.952796,44.085367,41.58989,41.574181,34.630065,30.488813,30.468772,32.29944,30.565654,30.246529,30.441942,32.894342,30.951197,26.000433,26.026005,29.232396,26.888928,30.089256,29.303752,28.442397,28.79642,32.137312,30.872946,26.185231,28.357234,33.371521,28.410335,24.275138,25.916159,26.905776,23.430895,25.194988,22.099175
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.401917,1.571184,1.416166,1.181631,0.726904,0.738619,0.608776,1.004369,0.956491,0.851345,1.740975,1.936558,2.352758,2.610055,2.765114,2.747635,2.553489,2.766507,2.833876,2.03069,2.730362,2.808038,2.51699,2.692764,2.580016,2.413618,2.594706,1.572917,1.46336
Cyprus,0,0.002488,0,0,0,0,0,0,0,0,0,0,0,0.126915,0.18061,0.134237,0.368543,0.222102,0.248949,0.253722,0.253722,0.068008,0.081086,0.070623,0.052314,0.047083,0.049698,0.068008,0.078471,0.128169,0.13457,0.132364,0.136877,0.154853,0.141315,0.15375,0.131983,0.111205,0.057698,0.06649,0.029581,0.000523,0.000523,0.008783,0.014573,0,0.011802,0.053921
