Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,11.88188,12.882333,14.116587,14.788698,16.36012,17.756555,17.141879,18.075452,20.157589,22.101235,23.440099,24.190375,24.526822,23.620276,20.994438,21.745593,20.681378,20.736103,27.499604,27.0878,28.157235,31.991264,30.161339,30.213455,33.059787,31.714621,33.558705,38.078388,39.010197,37.950617,39.572472,41.230455,37.420466,36.910389,38.706308,34.244581,33.757066,32.660692,31.496434,29.81349,26.742804,24.359075,24.373799,23.742974,24.298237,24.53072,24.74719,24.467335
Slovak Republic,11.97774,12.141737,13.525728,14.019875,14.442543,15.290117,15.68524,16.430487,17.040816,17.945372,17.303633,14.880345,14.412942,13.807733,13.755921,13.276029,13.101406,12.649735,12.423198,11.623615,9.911308,8.884894,7.143318,7.154861,6.59284,6.465695,7.000775,7.130151,6.250039,5.404698,7.185335,8.256968,7.56924,7.579592,8.364328,8.149505,8.523998,8.851578,8.258381,9.061926,8.971094,8.748447,8.681173,8.052378,8.682564,9.353521,10.390204,10.271761
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.670937,4.832468,4.942204,5.080171,5.078455,4.96162,4.770779,5.759332,6.229295,6.762366,7.825843,7.820753,7.18239,7.207338,6.773389,7.059698,6.848337,6.972648,7.090334,7.225436,7.452071,7.32107,8.5364,7.356923,7.456158,7.434208,7.221296,6.801003,6.643819,6.558799,6.919717,6.969452,6.966055
Spain,80.212224,84.608268,100.448046,113.052926,115.186716,132.803982,121.222193,124.423674,130.600275,134.064539,126.889609,113.418242,112.247399,102.346004,97.754509,98.939482,100.898476,112.791223,113.541337,117.127437,123.784652,129.607119,124.1838,132.446671,137.312824,137.279711,140.367977,148.817894,156.452554,160.173141,166.490105,168.743754,174.48732,180.59176,184.261427,181.501158,183.208773,173.482987,161.347613,157.349248,146.307583,135.069437,130.62003,129.699019,136.490414,139.831737,141.186942,142.314511
Sweden,76.530312,77.603787,77.208022,69.866961,72.042897,79.827014,77.921139,72.252355,74.188617,67.339709,61.058247,54.594212,47.169591,44.542899,46.866244,47.271697,45.258972,42.890091,40.65212,39.478411,40.046196,43.36229,42.927853,45.187168,44.816493,48.616401,44.369768,45.314243,44.505859,40.726801,39.412826,39.379042,39.627059,37.700564,35.170201,34.436896,33.193755,32.294471,31.130378,32.598836,30.217118,29.044203,27.36435,26.847884,26.548618,25.919418,25.333325,23.00687
Switzerland,36.968218,37.706841,41.160063,36.537998,34.826134,36.606694,36.696049,37.772695,36.032076,35.97791,32.886864,30.964084,34.363493,32.872012,35.933601,36.020366,34.253263,34.300961,33.573164,33.21314,35.315754,35.666352,33.331367,32.527014,32.946994,33.39218,32.740652,34.026134,34.04018,32.642165,33.749255,32.332755,33.184075,33.345428,33.480636,33.08736,31.208081,32.289158,31.559365,32.11308,28.868606,29.692156,30.352934,27.220147,26.47211,26.542415,25.556024,24.744745
Turkey,25.323002,29.115485,33.631954,34.705234,38.405173,43.13225,48.934383,48.669485,42.121249,43.898276,42.964006,46.188249,48.77813,48.373479,48.829946,51.167331,57.246801,55.68257,57.808368,61.270105,59.047705,62.807243,71.71361,69.242134,77.287233,80.81295,77.97159,74.591396,76.108533,80.709642,75.105675,79.121017,77.938963,76.56572,74.945455,74.219545,75.918081,76.251717,73.779265,68.942705,70.337947,73.061129,77.301991,80.998132,91.838474,99.484609,119.01828,114.863836
United Kingdom,246.511317,266.594602,269.11729,253.588462,228.416457,224.570437,229.818767,235.532722,236.498737,205.834477,188.005008,191.839885,181.055225,233.319504,195.390687,192.114836,185.423377,195.593513,198.394987,197.888183,198.871849,198.141758,197.144215,194.163497,188.972328,194.248212,187.293021,182.508407,183.760583,178.785284,179.970391,176.975547,177.15892,179.119898,181.026835,179.696802,177.856057,173.160265,164.162246,163.797217,156.375231,157.025183,152.607114,152.655365,157.127028,160.020546,161.753985,157.755311
OECD Europe,1719.556396,1840.663965,1964.829297,1850.313918,1800.034801,1911.770191,1886.128146,1960.266883,1988.081805,1855.623997,1704.937422,1610.8787,1555.171377,1559.104718,1523.726137,1560.101019,1556.848602,1562.939939,1563.709563,1616.035642,1661.78424,1671.912751,1671.835344,1660.940081,1679.222744,1726.144899,1707.7635,1734.69714,1723.347508,1687.55143,1712.850177,1698.281241,1712.159962,1709.118229,1696.434181,1683.236092,1626.999267,1615.152117,1533.37578,1510.670001,1453.972656,1411.94068,1387.904981,1366.120504,1408.474403,1425.504441,1448.615167,1428.071651
Albania,2.394465,2.83231,2.116834,2.221949,2.156735,2.364227,2.539946,2.709447,3.184538,3.533364,2.415977,2.336202,2.646004,2.939713,2.423226,2.495463,2.622044,2.476681,2.440715,2.756914,2.100273,1.559395,1.627075,1.764183,1.716859,1.705789,1.353089,1.678589,2.776557,2.993694,3.12715,3.66122,3.733425,3.924046,3.750395,3.717603,3.68841,3.622189,3.335125,3.446594,3.541593,3.135819,3.336123,3.714259,3.374444,3.383594,3.787262,3.329991
